1,図の道路標識のある場所は、横風を受けてハンドルをとられやすいので、注意する必要がある。この標識は、「滑りやすい」の標識です。,1,この標識は、「滑りやすい」の標識です。,img01.gif
2,図の道路標識がない場所でも、見通しのきかない交差点を通行するときや、追い越しをするときは、警音器を鳴らさなければならない。見通しの悪い交差点や追い越しをするときなどは鳴らしてはいけません。,1,見通しの悪い交差点や追い越しをするときなどは鳴らしてはいけません。,img02.gif
3,自動車の運転者は、自動車の後部座席に他の者を乗車させて運転するときは、その者に座席ベルトを装着させるように努めなければならない。問題の通り正解です。,0,問題の通り正解です。,null
4,信号機の信号が青色から黄色に変わったとき、停止位置で安全に停止することが出来る場合であっても、黄色の信号であるからそのまま進行してもよい。,1,黄色の灯火に変わったとき、停止位置で安全に停止できるときは、停止位置から先に進んではいけません。,null
5,左側部分の道幅が７メートルの見通しが良く、かつ、対向車がない道路で他の車を追い越そうとするときは、道路の中央線から右側にはみ出して通行してはならない。,0,問題の通り正解です。,null
6,携帯電話を使用しながらの運転は、周囲の交通状況に対する注意が不十分になり危険なので、運転中は使用しないようにする。問題の通り正解です。,0,問題の通り正解です。,null
7,路側帯とは、歩道のない道路で歩行者の通行のためや車道の効用を保つために白の線によって区分された道路の端の帯状の部分をいう。,0,問題の通り正解です。,null
8,トンネルの中では、車両通行帯があっても、追い越しが禁止されている。車両通行帯がある場合には、追い越しは禁止されていません。,1,車両通行帯がある場合には、追い越しは禁止されていません。,null
9,道路の左端や信号機にこの標示板があるときは、前方の信号が赤であっても自動車、原動機付自転車などは、まわりの交通に注意しながら左折してもよい。,0,周りの交通に注意しながら左折できます。,img03.jpg
10,横断歩道や自転車横断帯とその手前３０メートル以内の場所は、他の車（軽車両を除く）を追い越したり追い抜いたりしてはならない。,0,問題の通り正解です。,null
11,軌道敷内を通行している車は、後方から路面電車が近づいてきたとき、その路面電車の進路を妨げないように十分な距離があれば、軌道敷外に出なくてもよい。,0,問題の通り正解です。,null
12,制限速度の範囲内であっても、道路や交通の状況によっては、速度を落として走行しなければならない。,0,問題の通り正解です。,null
13,進路を変更しようとするときは、３秒前に合図をすれば他の交通に関係なく進路を変えてもよい。,1,みだりに進路を変更してはいけません。後方から来る車が急ブレーキや急ハンドルでさけなければならないときは、進路を変えてはいけません。,null
14,道路の曲がり角付近は、見通しの悪いところは徐行しなければならないが、見通しのよいところは徐行しなくてよい。,1,曲がり角付近は、見通しがよくても悪くても徐行しなければなりません。,null
15,道路の中央によって右の方向指示器を出している車を追い越すときは、右、左どちらでもよい。,1,前の車が右折のため、道路の中央（一方通行の道路では右側）に寄って通行しているときは、その左側を通行しなければならない。,null
16,上り坂の頂上付近やこう配の急な下り坂は、徐行しなければならないし、追い越しもしてはならない。,0,問題は、法令で定められた徐行すべき場所で、追い越し禁止場所です。,null
17,この標識は、「学童用横断歩道あり」の警戒標識である。この標識は、学校・幼稚園・保育所等ありの警戒標識です。,1,この標識は、学校・幼稚園・保育所等ありの警戒標識です。,img04.gif
18,緊急自動車が近づいてきたときは、他の車はどんな場所であってもその場に一時停止してこれを優先して通行させなければならない。,1,交差点やその付近以外のところでは、道路の左側に寄って進路を譲ります。,null
19,運転免許証は単に技能だけではなく安全運転に必要な知識・状況を判断する能力・法令を守ろうとする気持ちがあると認められる者に与えられるものである。,0,運転免許制度の趣旨は、その通りです。,null
20,この標識は、「車両通行止め」である。,1,「通行止め」の標識で、車、歩行者等全て通行できません。,img05.gif
21,進路前方の横断歩道を歩行者が横断しようとしているときは、徐行して歩行者に進路をゆずらなければならない。,1,歩行者が横断しようとしているときは、必ず一時停止をしなければなりません。,null
22,左図の道路標識のあるところでは、道路の右側部分にはみ出さなければ追い越しをしてもよい。,0,問題の通り正解です。,img06.gif
23,道路に面した場所に出入りするため、歩道や路側帯を横切るときは、徐行して歩行者の通行を妨げないようにする。,1,歩行者がいるいないにかかわらず、必ず一時停止です。	,null
24,左図の標識は、普通自動車だけが軌道敷内を通行できる意味である。,1,「軌道敷内通行可」の標識なので、自動車が通行できます。,img07.gif
25,信号機の灯火が、赤色、または黄色であっても、黄色の矢印信号が出ているときは、自動車は矢印の方向に進行することができる。,1,黄色の矢印信号は、路面電車に対する信号です。,null
26,このような標識のある車両通行帯は、交通量が少なくまた路線バスなどが前後に見えないときでも、一般の車両は通行してはならない。,1,この標識は、指定された車と小型特殊自動車、原動機付自転車、軽車両が通行できます。,img08.gif
27,自転車横断帯またはその手前の直前で停止している普通自動車の側方を通過してその前方に出ようとするときは、徐行して通過しなければならない。,1,前方に出る前に必ず一時停止しなければなりまん。,null
28,警察官が灯火を頭上に上げたときは、頭上に上げる前の灯火が振られていた方向に進行する交通は、信号機の黄色の灯火の信号と同じ意味を持つ。,0,問題の通り正解です。,null
29,このような標識のあるときは、追い越しのために進路を変えたりその横を通り過ぎてはならない。,0,問題の標識は、追い越し禁止　を表していますから、問題の通り正解です。,img09.gif
30,運転免許は、第一種運転免許・第二種運転免許・原動機付自転車運転免許の三つに区分される。,1,第一種運転免許・第二種運転免許・仮運転免許の三つに区分されています。,null
31,横断歩道のない交差点で、その付近を歩行者が横断しているときは、必ず一時停止しなければならない。,1,その通行を妨げてはいけません。（速度を落としたり、徐行したり、場合によっては一時停止をします。）,null
32,安全地帯のない路面電車の停留所では、電車との間に１．５メートル以上の間隔があれば徐行せずに進行することができる。,1,路面電車との間に１．５メートル以上の間隔があっても徐行して通行します。,img10.gif
33,図の標識は、「普通乗用自動車通行止め」であることを表す標識である。,1,この標識は、「二輪の自動車以外の自動車通行止め」です。,null
34,交通規則を正しく守っている限り、権利を強く主張して運転すべきである。,1,相手の立場に立ってゆずり合いの精神と、思いやりをもって運転しましょう。,img11.gif
35,図の標識のある道路は、警察署長の許可を受ければ徐行して通行することができる。,0,問題の通り正解です。,null
36,片側の道幅が６メートル未満のところで追い越しをするときには、道路中央に黄色の実線があっても多少なら右側部分へはみ出してもよい。,1,黄色の実線は、追い越しのための右側部分はみ出し追い越し禁止です。,null
37,オートマチック車のエンジンを始動するときのチェンジレバーの位置は、ハンドブレーキをかけてさえいれば「Ｎ」の位置でもよい。,1,エンジンをかけるときは、「Ｐ」の位置にします。,null
38,このような標識のある道路では、横断も転回も禁止されている。,1,問題の標識は、車両横断禁止ですから転回は禁止されていません。,img12.gif
